#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          208.93     2.71498e-07     2.71498e-07     2.71498e-07
          222.16     2.28656e-07     2.28656e-07     2.28656e-07
         236.229      1.9255e-07      1.9255e-07      1.9255e-07
         251.189     1.62126e-07     1.62126e-07     1.62126e-07
         267.096     1.36492e-07     1.36492e-07     1.36492e-07
          284.01     1.14897e-07     1.14897e-07     1.14897e-07
         301.995     9.67077e-08     9.67077e-08     9.67077e-08
         321.119     8.13883e-08     8.13883e-08     8.13883e-08
         341.455     6.84879e-08     6.84879e-08     6.84879e-08
         363.078     5.76257e-08     5.76257e-08     5.76257e-08
         386.071     4.84809e-08     4.84809e-08     4.84809e-08
         410.519     4.07829e-08     4.07829e-08     4.07829e-08
         436.516     3.43034e-08     3.43034e-08     3.43034e-08
         464.159     2.88504e-08     2.88504e-08     2.88504e-08
         493.552     2.42616e-08     2.42616e-08     2.42616e-08
         524.807     2.04006e-08     2.04006e-08     2.04006e-08
         558.042     1.71523e-08     1.71523e-08     1.71523e-08
         593.381     1.44198e-08     1.44198e-08     1.44198e-08
         630.957     1.21214e-08     1.21214e-08     1.21214e-08
         670.914     1.01883e-08     1.01883e-08     1.01883e-08
           713.4     8.56272e-09     8.56272e-09     8.56272e-09
         758.578      7.1958e-09      7.1958e-09      7.1958e-09
         806.616     6.04653e-09     6.04653e-09     6.04653e-09
         857.696     5.08034e-09     5.08034e-09     5.08034e-09
         912.011     4.26816e-09     4.26816e-09     4.26816e-09
         969.765     3.58549e-09     3.58549e-09     3.58549e-09
         1031.18     3.01175e-09     3.01175e-09     3.01175e-09
         1096.48     2.52959e-09     2.52959e-09     2.52959e-09
         1165.91     2.12444e-09     2.12444e-09     2.12444e-09
         1239.75     1.78403e-09     1.78403e-09     1.78403e-09
         1318.26     1.49804e-09     1.49804e-09     1.49804e-09
         1401.74     1.25779e-09     1.25779e-09     1.25779e-09
          1490.5     1.05598e-09     1.05598e-09     1.05598e-09
         1584.89     8.86485e-10     8.86485e-10     8.86485e-10
         1685.26     7.44133e-10     7.44133e-10     7.44133e-10
         1791.98     6.24591e-10     6.24591e-10     6.24591e-10
         1905.46     5.24212e-10     5.24212e-10     5.24212e-10
         2026.13     4.39931e-10     4.39931e-10     4.39931e-10
         2154.43     3.69173e-10     3.69173e-10     3.69173e-10
         2290.87     3.09772e-10     3.09772e-10     3.09772e-10
         2435.94     2.59909e-10     2.59909e-10     2.59909e-10
          2590.2     2.18057e-10     2.18057e-10     2.18057e-10
         2754.23     1.82931e-10     1.82931e-10     1.82931e-10
         2928.64     1.53452e-10     1.53452e-10     1.53452e-10
         3114.11     1.28715e-10     1.28715e-10     1.28715e-10
         3311.31     1.07957e-10     1.07957e-10     1.07957e-10
         3521.01     9.05413e-11     9.05413e-11     9.05413e-11
         3743.98     7.59297e-11     7.59297e-11     7.59297e-11
         3981.07     6.36719e-11     6.36719e-11     6.36719e-11
         4233.18     5.33893e-11     5.33893e-11     5.33893e-11
         4501.25     4.47644e-11     4.47644e-11     4.47644e-11
          4786.3     3.75303e-11     3.75303e-11     3.75303e-11
          5089.4     3.14633e-11     3.14633e-11     3.14633e-11
          5411.7     2.63754e-11     2.63754e-11     2.63754e-11
          5754.4     2.21088e-11     2.21088e-11     2.21088e-11
         6118.81     1.85313e-11     1.85313e-11     1.85313e-11
         6506.29     1.55317e-11     1.55317e-11     1.55317e-11
         6918.31     1.30168e-11     1.30168e-11     1.30168e-11
         7356.42     1.09085e-11     1.09085e-11     1.09085e-11
         7822.28     9.14113e-12     9.14113e-12     9.14113e-12
         8317.64     7.65965e-12     7.65965e-12     7.65965e-12
         8844.37     6.41789e-12     6.41789e-12     6.41789e-12
         9404.45     5.37714e-12     5.37714e-12     5.37714e-12
